cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_829	4.84525e-30	1	2.07528e-32	7.64124e-32	4.14213e-33
Cell_830	0.431961	0.501921	0.0436502	0.00751447	0.0149532
Cell_831	1.31067e-13	1	5.43491e-16	2.18427e-15	3.97615e-15
Cell_832	0.000141165	2.0219e-28	1.4265e-05	0.999844	9.27761e-08
Cell_833	1.25656e-16	1	5.28728e-19	2.31585e-18	3.87387e-18
Cell_834	0.565577	4.96838e-22	0.0571523	0.376764	0.000506869
Cell_835	0.598168	7.93062e-23	0.00289737	0.398475	0.000459976
Cell_836	3.56339e-17	1	1.72601e-19	5.62811e-19	1.46642e-18
Cell_837	0.221286	0.257126	0.0223613	0.147412	0.351815
Cell_838	0.451082	0.524139	0.00189803	0.00919622	0.0136844
Cell_839	8.00473e-09	5.06778e-29	8.08889e-10	1.26538e-10	1
Cell_840	4.54443e-08	1	2.00798e-10	7.14384e-10	7.22503e-08
Cell_841	1.07392e-11	4.62497e-29	1.08521e-12	1.71664e-13	1
Cell_842	3.92791e-23	1	3.9692e-24	6.20919e-25	5.10837e-26
Cell_843	0.258234	0.300058	0.0260949	0.00505649	0.410557
Cell_844	1.60026e-23	1	1.61708e-24	2.78384e-25	1.2398e-26
Cell_845	2.22519e-07	2.58558e-07	2.24858e-08	3.93323e-09	0.999999
